title,snippet,pageid,extract,fullurl
A Song Flung Up to Heaven (2002) merupakan buku keenam dari serial autobiografi karya Maya Angelou, dan pada saat itu, di dunia penerbitan, dianggap sebagai instalasi terakhir. Ini dilengkapi selama 16 tahun setelah publikasi autobiografi sebelumnya, All God's Children Need Traveling Shoes (1986) dan lebih dari tiga tahun setelah penerbitan I Know Why the Caged Bird Sings. Angelou menulis dua kumpulan esei Wouldn't Take Nothing for My Journey Now (1993) dan Even the Stars Look Lonesome (1997), yang oleh penulis Hilton Als disebut sebagai "buku yang bijak" dan "homili-nya dirangkai dengan teks atobiografi". Dia juga melanjutkan penulisan puisinya melalui beberapa koleksi, termasuk The Complete Collected Poems of Maya Angelou (1994).","https://id.wikipedia.org/wiki/A_Song_Flung_Up_to_Heaven"
"A Room with a View","berkaitan dengan artikel ini: A Room with a View A Room with a View di Proyek Gutenberg Buku audio domain publik A Room with a View di LibriVox The text Plot","2615003","A Room with a View adalah sebuah novel tahun 1908 karya penulis Inggris E. M. Forster, tentang seorang wanita muda dalam budaya era Adwardian Inggris. Berlatar Italia dan Inggris, ceritanya adalah tentang percintaan dan kritik terhadap masyarakat Inggris pada permulaan abad ke-20.","https://id.wikipedia.org/wiki/A_Room_with_a_View"
"A dengan akut (Kiril)","Rumpun bahasa Slavia Timur dan hanya digunakan dalam buku istimewa seperti kamus; primer; atau buku teks untuk orang asing; karena tekanan sangat tidak","3622691","A dengan akut (А́ а́; italik: А́ а́) adalah huruf dari Alfabet Kiril. Dalam semua bentuk mirip sekali dengan  Huruf Latin A dengan akut (Á á Á á).
A dengan akut digunakan dalam Rusia, Tajik, Belarus dan Bulgaria.","https://id.wikipedia.org/wiki/A_dengan_akut_(Kiril)"
"A History of Western Philosophy","A History of Western Philosophy (terjemahan: Sejarah Filsafat Barat) adalah sebuah buku yang dikarang oleh Bertrand Russell dan diterbitkan pada tahun","674949","A History of Western Philosophy (terjemahan: Sejarah Filsafat Barat) adalah sebuah buku yang dikarang oleh Bertrand Russell dan diterbitkan pada tahun 1945 yang membahas mengenai ikhtisar dari filsafat Barat dari filsuf pra-Sokrates hingga ke awal abad ke-20. Meskipun dikritik karena generalisasinya yang berlebihan dan kelalaian, terutama dari masa pasca-Cartesian, karya ini sangat populer dan meraih kesuksesan komersial, dan masih terus dicetak dari publikasi pertama. A History of Western Philosophy membuat Russell menerima Penghargaan Nobel Kesusastraan pada tahun 1950 dan membuat keuangan Russel tetap tercukupi sampai akhir hidupnya.","https://id.wikipedia.org/wiki/A_History_of_Western_Philosophy"
"A Darkling Plain","A Darkling Plain adalah buku seri Mortal Engines Quartet karya pengarang Inggris; Philip Reeve. Tom Natsworthy Hester Shaw Keazor; Henry (2010). &quot;'Mortal","2992048","A Darkling Plain adalah buku seri Mortal Engines Quartet karya pengarang Inggris, Philip Reeve.","https://id.wikipedia.org/wiki/A_Darkling_Plain"
"A. A. Milne","dioptimalkan untuk situs non-Beta) Karya A. A. Milne di LibriVox (buku suara domain umum) Portraits of A. A. Milne in the National Portrait Gallery Essays","2803364","Alan Alexander Milne (; 18 Januari 1882 – 31 Januari 1956) adalah seorang penulis asal Inggris. Ia dikenal karena buku-bukunya tentang teddy bear Winnie-the-Pooh dan berbagai puisi. Milne adalah penulis terkenal, utamanya sebagai pembuat sandiwara, sebelum kesuksesan besar Pool membayangi seluruh karya sebelumnya. Milne bertugas dalam kedua Perang Dunia, masuk  British Army pada Perang Dunia I, dan menjadi kapten British Home Guard pada Perang Dunia II.","https://id.wikipedia.org/wiki/A._A._Milne"
"A dengan aksen rendah (Kiril)","bahasa Slavia Timur dan secara regular digunakan dalam buku istimewa seperti kamus; primer; atau buku teks untuk orang asing; karena tekanan sangat tidak","3622575","A dengan aksen rendah (А̀ а̀; italik: А̀ а̀) adalah huruf dari Alfabet Kiril. Dalam semua bentuk mirip sekali dengan  Huruf Latin A dengan aksen rendah (À à À à).
A dengan aksen rendah digunakan dalam Rusia, Bulgaria, dan Serbia.","https://id.wikipedia.org/wiki/A_dengan_aksen_rendah_(Kiril)"
"A Coruña","(Inggris) Studi tentang Ferrol oleh A Corrugna 2005 (Inggris) Ferrol; Fakta dan Fiksi: suatu analisis terhadap buku C.S. Forester The Devil and the Duchess","39487","A Coruña (atau Corunha) adalah sebuah kota di daerah Galicia, ibu kota provinsi A Coruña, yang terletak di sebelah barat laut Spanyol.","https://id.wikipedia.org/wiki/A_Coru%C3%B1a"
"A Christmas Story","semi-fiksi Jean Shepherd dalam buku tahun 1966 buatannya In God We Trust: All Others Pay Cash; dengan beberapa unsur dari buku tahun 1971 buatannya Wanda","2465815","A Christmas Story adalah sebuah film komedi Natal Metrocolor Amerika tahun 1983 garapan Bob Clark, dan berdasarkan pada anekdot semi-fiksi Jean Shepherd dalam buku tahun 1966 buatannya In God We Trust: All Others Pay Cash, dengan beberapa unsur dari buku tahun 1971 buatannya Wanda Hickey's Night of Golden Memories. Sekarang menjadi karya klasik musim Natal di Amerika Serikat, film tersebut ditayangkan beberapa kali di televisi, biasanya di jaringan-jaringan milik Turner Broadcasting System. Sejak 1997, sebuah maraton dari film tersebut yang berjudul "24 Hours of A Christmas Story" ditayangkan setiap tahun di TNT dan/atau TBS-WGN America, yang terdiri dari dua belas tayangan berturut-turut dari film tersebut baik pada Malam Natal dan Hari Natal setiap tahun. Perilisan televisi pertamanya adalah pada tahun 1984 sekitaran hari ulang tahun Scarlett Johansson.
Film tersebut memberikan dua Penghargaan Genie kepada sutradara Clark. Pada 2012, film tersebut terpilih untuk penyajian dalam Pendaftaran Film Nasional Amerika Serikat oleh Perpustakaan Kongres karena "signifikan secara budaya, sejarah, atau aestetik."","https://id.wikipedia.org/wiki/A_Christmas_Story"
"A Very English Scandal (seri televisi)","A Very English Scandal adalah miniseri televisi tiga episode Britania Raya yang diangkat dari buku berjudul sama karya John Preston. Seri ini tayang perdana","2624651","A Very English Scandal adalah miniseri televisi tiga episode Britania Raya yang diangkat dari buku berjudul sama karya John Preston. Seri ini tayang perdana di BBC One tanggal 20 Mei 2018 dan Amazon Prime tanggal 29 Juni 2018.","https://id.wikipedia.org/wiki/A_Very_English_Scandal_(seri_televisi)"
"A. S. A. Harrison","dikenal melalui sejumlah karyanya berupa buku non-fiksi dan fiksi (novel) yang menggunakan nama pena A. S. A. Harrison. Dia menetap di Kota Toronto dan","2392675","Susan Harrison (1948 – 14 April 2013) adalah sastrawan berkebangsaan Kanada. Namanya dikenal melalui sejumlah karyanya berupa buku non-fiksi dan fiksi (novel) yang menggunakan nama pena A. S. A. Harrison. Dia menetap di Kota Toronto dan menikah dengan seniman visual John Massey.
Harrison mengawali debutnya melalui penampilan seninya pada akhir dasawarsa 1960-an, berkolaborasi dengan Margaret Dragu. Dia bekerja sebagai pemeriksa ejaan untuk sebuah penerbit di Toronto, dan menerbitkan beberapa karya non-fiksi.
Novel pertamanya, beHgenre thriller psikologis berjudul Silent Wife, dipublikasikan pada bulan Juni 2013 dan mendapatkan respon luas dari para kritikus. Buku ini berkisah tentang perempuan pendiam yang mengalami penderitaan berkepanjangan selama pernikahan. Tak lama setelah penerbitan novel itu, Harrison meninggal pada usia 65 tahun, akibat penyakit kanker yang dideritanya.","https://id.wikipedia.org/wiki/A._S._A._Harrison"
